Date,Open,High,Low,Close,Adj Close,Volume
2025-02-28,500.13,508.78,496.93,508.17,507.41,47654000
2025-02-27,518.13,519.07,500.05,500.27,499.53,52448000
2025-02-26,515.53,519.66,511.37,514.56,513.79,34457600
2025-02-25,519.24,519.32,509.44,513.32,512.56,48940000
2025-02-24,527.88,529.07,519.53,519.87,519.1,39268400
2025-02-21,538.38,538.4,525.71,526.08,525.3,47093800
2025-02-20,538.73,539.1,532.46,537.23,536.43,26550800
2025-02-19,538.57,540.81,536.46,539.52,538.72,19666900
2025-02-18,539.73,540,536.04,539.37,538.57,20565000
2025-02-14,536.01,538.84,535.67,538.15,537.35,17862600
2025-02-13,529.98,536.22,529.19,535.9,535.1,28714800
2025-02-12,522.3,529.19,521.95,528.3,527.51,25009400
2025-02-11,525.96,529.92,525.83,527.99,527.2,19325500
2025-02-10,527.22,530.36,526.75,529.25,528.46,20852800
2025-02-07,530.14,532.1,522.19,522.92,522.14,29605500
2025-02-06,527.36,529.81,525.74,529.6,528.81,19434500
2025-02-05,521.82,527.01,520.62,526.85,526.07,21134100
2025-02-04,518.63,525.11,518.23,524.47,523.69,26046800
2025-02-03,513.47,520.85,511.05,518.11,517.34,40580800
2025-01-31,526.92,531.52,521.19,522.29,521.51,38845500
2025-01-30,523.71,526.1,518.21,523.05,522.27,27431300
2025-01-29,522.46,522.59,516.9,520.83,520.05,26649000
2025-01-28,515.22,523,511.78,521.81,521.03,33194200
2025-01-27,511,517.99,510.15,514.21,513.44,60771700
2025-01-24,533.02,533.79,528.15,529.63,528.84,19878300
2025-01-23,529.04,532.76,528.45,532.64,531.85,23096600
2025-01-22,529.57,533.82,529.26,531.51,530.72,33593000
2025-01-21,524.48,525.97,520.06,524.8,524.02,23628000
2025-01-17,522.85,524.07,513.11,521.74,520.96,51837900
2025-01-16,518.98,519.06,512.95,513.08,512.32,28229000
2025-01-15,513.03,517.85,511.46,516.7,515.93,34957600
2025-01-14,508.74,510.16,501.59,505.08,504.33,33737200
2025-01-13,501.2,506.02,499.7,505.56,504.81,31694200
2025-01-10,511.48,511.58,503.92,507.19,506.43,40532500
2025-01-08,515.08,516.92,510.57,515.27,514.5,30777800
2025-01-07,525.59,525.99,513.28,515.18,514.41,36690300
2025-01-06,524.02,527.92,522.03,524.54,523.76,36109700
2025-01-03,513.35,519.65,512.53,518.58,517.81,29059500
2025-01-02,514.3,516.64,505.71,510.23,509.47,36389800
2024-12-31,516.9,517.66,510.26,511.23,510.47,29117000
2024-12-30,515.51,519.36,511.83,515.61,514.84,34584000
2024-12-27,526.01,526.45,517.86,522.56,521.78,33839600
2024-12-26,528.32,531.24,526.31,529.6,528.81,19090500
2024-12-24,524.83,530.05,524.19,529.96,529.17,17558200
2024-12-23,0.84 Dividend,,,,,
2024-12-23,519.55,523.25,516.13,522.87,522.09,29672800
2024-12-20,510.44,524.82,509.29,518.66,517.05,60530000
2024-12-19,521.19,521.76,513.83,514.17,512.58,46441800
2024-12-18,535.15,536.88,515.01,516.47,514.87,54703200
2024-12-17,536.36,537.48,534.13,535.8,534.14,28579100
2024-12-16,533.08,539.15,533,538.17,536.5,31979900
2024-12-13,530.46,533.17,527.3,530.53,528.89,28780400
2024-12-12,527.68,528.96,526.02,526.5,524.87,23577500
2024-12-11,525,530.61,524.59,529.92,528.28,32168600
2024-12-10,523.62,525.38,519.16,520.6,518.99,24350000
2024-12-09,525.55,526.35,521.22,522.38,520.76,20674400
2024-12-06,522.48,526.72,522.35,526.48,524.85,23762600
2024-12-05,523.31,524.04,521.42,521.81,520.19,18169600
2024-12-04,520.32,523.52,519.6,523.26,521.64,26086200
2024-12-03,513.95,517.15,513.37,516.87,515.27,18597900
2024-12-02,511.01,516.26,510.62,515.29,513.69,25147200
2024-11-29,505.93,510.34,505.31,509.74,508.16,15334000
2024-11-27,508.17,508.24,501.93,505.3,503.74,24957400
2024-11-26,508.08,510.14,507.23,509.31,507.73,26557100
2024-11-25,509.9,511.45,504.26,506.59,505.02,26375200
2024-11-22,504.42,506.53,502.78,505.79,504.22,23826600
2024-11-21,506.24,506.96,497.56,504.98,503.42,34526700
2024-11-20,503.16,503.48,496.56,503.17,501.61,29565500
2024-11-19,497.42,503.95,497.08,503.46,501.9,24523000
2024-11-18,498.13,502.14,496.73,500.02,498.47,27192700
2024-11-15,502.94,503.33,494.49,496.57,495.03,51461100
2024-11-14,511.91,512.79,507.77,508.69,507.11,28679500
2024-11-13,512.4,514.98,509.95,512.25,510.66,24567400
2024-11-12,513.77,514.66,509.83,512.91,511.32,25835300
2024-11-11,515.37,515.58,510.92,513.84,512.25,24167500
2024-11-08,513.04,514.92,512.41,514.14,512.55,22924500
2024-11-07,508.4,514.33,508.34,513.54,511.95,32853100
2024-11-06,500.56,506.41,499.6,505.58,504.01,43082200
2024-11-05,487.61,492.88,487.52,492.21,490.69,24353600
2024-11-04,486.82,489.38,484.25,486.01,484.51,23291600
2024-11-01,485.5,490.75,485.2,487.43,485.92,33655800
2024-10-31,492.38,492.43,483.75,483.85,482.35,41245200
2024-10-30,499.39,500.35,495.89,496.38,494.84,29756000
2024-10-29,495.72,501.35,493.85,500.16,498.61,28014100
2024-10-28,498.46,498.52,495.1,495.4,493.87,20477800
2024-10-25,495.14,500.28,494.43,495.32,493.79,38762100
2024-10-24,492.11,493,489.44,492.32,490.8,22024900
2024-10-23,493.59,494.25,485.05,488.36,486.85,39346600
2024-10-22,492.73,497.45,491.97,495.96,494.42,26685800
2024-10-21,493.25,496.23,491.31,495.42,493.89,30336500
2024-10-18,494.06,495.57,493.3,494.47,492.94,25335000
2024-10-17,496.44,496.49,491.19,491.25,489.73,27210700
2024-10-16,491.18,491.69,487.57,490.91,489.39,22996800
2024-10-15,497.83,498.5,488.68,490.85,489.33,34784500
2024-10-14,495.77,498.83,495.26,497.5,495.96,26060100
2024-10-11,490.74,494.39,490.17,493.36,491.83,20644500
2024-10-10,490.85,494.47,489.53,492.59,491.06,25750400
2024-10-09,489,493.73,487.95,493.15,491.62,24995000
2024-10-08,484.66,489.99,483.85,489.3,487.78,28272000
2024-10-07,485.39,486.57,480.87,482.1,480.61,24975100
2024-10-04,487.45,487.88,482.39,487.32,485.81,30686600
2024-10-03,479.74,484.55,478.99,481.59,480.1,25337200
2024-10-02,480.36,483.88,477.72,481.95,480.46,23744000
2024-10-01,487.7,488,477.4,481.27,479.78,42735400
2024-09-30,485.78,488.41,482.92,488.07,486.56,30281100
2024-09-27,490.5,490.64,485.56,486.75,485.24,22851100
2024-09-26,493.37,493.7,485.8,489.47,487.95,32020200
2024-09-25,484.74,487.79,484.56,485.82,484.32,26549900
2024-09-24,484.46,486.33,480.17,485.37,483.87,25952600
2024-09-23,0.68 Dividend,,,,,
