day,invest_nasdaq,invest_sp500,return_nasdaq,return_sp500,capital_nasdaq,capital_sp500,pnl_nasdaq,pnl_sp500,balance
1,1,0,-0.0025884758445173,0.0,50.0,0.0,-0.129423792225865,0.0,999.8705762077741
2,1,1,0.0009377589741352,-0.0020479063814226,49.99352881038871,949.8770473973854,0.04688188029062868,-1.945259266931963,997.9721988211328
3,1,0,-0.0267991371985096,0.0,49.89860994105664,0.0,-1.337239693825292,0.0,996.6349591273075
4,1,0,0.0128730382609085,0.0,49.831747956365376,0.0,0.6414859980502404,0.0,997.2764451253578
5,1,1,0.0092392025109411,0.0111901959685405,49.863822256267895,947.4126228690899,0.46070195179523105,10.60173291297407,1008.3388799901271
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1008.3388799901271
7,1,0,0.0098175816166856,0.0,50.41694399950636,0.0,0.49497246257902106,0.0,1008.8338524527061
8,1,1,0.0044789742936595,0.0084119296456792,50.44169262263531,958.3921598300707,0.22592704458545756,8.061927421461089,1017.1217069187526
9,1,1,-0.0044167371090447,0.0052361692907698,50.85608534593763,966.2656215728149,-0.2246179593681471,5.059530374406166,1021.9566193337906
10,1,0,0.0005306616289189,0.0,51.097830966689536,0.0,0.02711565821500608,0.0,1021.9837349920057
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1021.9837349920057
12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1021.9837349920057
13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1021.9837349920057
14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1021.9837349920057
15,1,1,0.0030757850065212,-0.0005345472729466,51.099186749600285,970.8845482424053,0.15717011244984733,-0.5189836876089695,1021.6219214168466
16,1,1,0.0123624507539736,-0.0030272626626072,51.081096070842335,970.5408253460042,0.6314875346347827,-2.9380820031059343,1019.3153269483754
17,1,1,-0.0027796948086802,0.0042298639010318,50.96576634741877,968.3495606009566,-0.14166927613632802,4.095986849965992,1023.2696445222051
18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1023.2696445222051
19,1,0,-0.0077927026769554,0.0,51.16348222611026,0.0,-0.39870180490576945,0.0,1022.8709427172994
20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1022.8709427172994
21,1,1,0.0179001522187325,-0.0016561501134463,51.14354713586497,971.7273955814344,0.9154772787379035,-1.6093264364310702,1022.1770935596062
22,1,0,-0.0064549102748542,0.0,51.10885467798031,0.0,-0.32990307119692525,0.0,1021.8471904884093
23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1021.8471904884093
24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1021.8471904884093
25,1,1,-0.0043988816402609,0.0077298073391431,51.092359524420466,970.7548309639888,-0.22474924226958232,7.50374781689406,1029.1261890630337
26,1,0,-0.0360766840154266,0.0,51.45630945315169,0.0,-1.8563730167413623,0.0,1027.2698160462924
27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1027.2698160462924
28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1027.2698160462924
29,1,0,0.0097476066144475,0.0,51.36349080231462,0.0,0.5006711026857553,0.0,1027.7704871489782
30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1027.7704871489782
