Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,daily_return,RSI_14,MACD,Signal_Line,target,momentum_5d,return_3d,volume_change,outlier_return,Adj Close_norm,Volume_norm,SMA_20_was_imputed,SMA_50_was_imputed,daily_return_was_imputed,RSI_14_was_imputed,MACD_was_imputed,Signal_Line_was_imputed,momentum_5d_was_imputed,return_3d_was_imputed,volume_change_was_imputed,outlier_return_was_imputed,Adj Close_norm_was_imputed,Volume_norm_was_imputed
2015-01-02,103.76,104.2,102.44,102.94,95.12,31314600.0,94.15,96.64659999999999,0.0,60.8119815623653,0.15224413700032358,0.8365925298342243,0,0.0,0.0,0.0,0,0.01160847574697535,0.12648474869067594,1,1,1,1,1,1,1,1,1,0,0,0
2015-01-05,102.49,102.61,101.14,101.43,93.73,36521300.0,94.15,96.64659999999999,-0.01461312026913375,60.8119815623653,0.15224413700032358,0.8365925298342243,0,0.0,0.0,0.16627068523947286,0,0.008511396804884053,0.15365867024344163,1,1,0,1,1,1,1,1,0,0,0,0
2015-01-06,101.58,101.75,99.62,100.07,92.47,66205500.0,94.15,96.64659999999999,-0.01344286781179993,60.8119815623653,0.15224413700032358,0.8365925298342243,1,0.0,0.0,0.812791439516118,0,0.0057039727278803964,0.3085813894622573,1,1,0,1,1,1,1,1,0,0,0,0
2015-01-07,100.73,101.6,100.49,101.36,93.66,37577400.0,94.15,96.64659999999999,0.012869038607115746,60.8119815623653,0.15224413700032358,0.8365925298342243,1,0.0,-0.015186949473817934,-0.4324127149557061,0,0.008355428800606052,0.1591704874312719,1,1,0,1,1,1,1,0,0,0,0,0
2015-01-08,102.22,103.5,102.11,103.3,95.46,40212600.0,94.15,96.64659999999999,0.01921844971172315,60.8119815623653,0.15224413700032358,0.8365925298342243,0,0.0,0.018644620507038967,0.07012725734084846,0,0.012366034624896965,0.17292367430123717,1,1,0,1,1,1,1,0,0,0,0,0
2015-01-09,103.62,103.65,102.02,102.62,94.83,41410100.0,94.15,96.64659999999999,-0.006599622878692646,60.8119815623653,0.15224413700032358,0.8365925298342243,0,-0.29000000000000625,0.02548786544014625,0.02977922342748296,0,0.010962322586395151,0.1791734622781586,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-12,102.82,102.93,101.29,101.55,93.84,34129800.0,94.15,96.64659999999999,-0.010439734261309619,60.8119815623653,0.15224413700032358,0.8365925298342243,0,0.10999999999999943,0.0021790925717208864,-0.1758097662164544,0,0.008756489383035165,0.1411773608932891,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-13,102.54,103.62,100.7,101.52,93.81,56162300.0,94.15,96.64659999999999,-0.00031969309462920315,60.8119815623653,0.15224413700032358,0.8365925298342243,0,1.3400000000000034,-0.017359050234631468,0.6455502229722998,0,0.008689645952630304,0.2561656311242051,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-14,100.5,101.48,100.07,100.96,93.29,51354200.0,94.15,96.64659999999999,-0.005543119070461566,60.8119815623653,0.15224413700032358,0.8365925298342243,0,-0.36999999999999034,-0.01630254642640039,-0.08561081009858929,0,0.007531026492279602,0.2310720147802919,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-15,101.43,101.59,99.53,99.65,92.08,51005400.0,94.15,96.64659999999999,-0.012970307642834245,60.8119815623653,0.15224413700032358,0.8365925298342243,1,-3.3799999999999955,-0.018833119807925014,-0.0067920442729124675,0,0.004835008132617391,0.2292516172468053,1,1,0,1,1,1,0,0,0,0,0,0
