Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,daily_return,RSI_14,MACD,Signal_Line,target,momentum_5d,return_3d,volume_change,outlier_return,Adj Close_norm,Volume_norm,SMA_20_was_imputed,SMA_50_was_imputed,daily_return_was_imputed,RSI_14_was_imputed,MACD_was_imputed,Signal_Line_was_imputed,momentum_5d_was_imputed,return_3d_was_imputed,volume_change_was_imputed,outlier_return_was_imputed,Adj Close_norm_was_imputed,Volume_norm_was_imputed,day,weekday,month,year,SMA_10,MACD_diff,Bollinger_Middle,Bollinger_High,Bollinger_Low,Price_Change,Volatility_10d,Volume_Change,Unusual_Volume,momentum_3d,momentum_7d,momentum_10d,rolling_mean_3d,rolling_mean_5d,rolling_std_3d,rolling_std_5d,return_1d,rolling_return_3d,rolling_return_5d
2015-03-16,206.71,208.69,205.86,208.58,174.71,136099200.0,175.435,206.0002,0.0133402934864568,52.09165335308303,0.0005359991097009,0.5019082256962876,0,0.21999999999999886,0.0198975610268586,-0.1620069835214261,0,0.0404169232122438,0.2378548518884877,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,2015,207.86599999999999,-0.5980251377678721,209.44,213.97246952554553,204.90753047445446,0.013360540251663888,2.313838561544223,-0.16200698352142617,0,4.0800000000000125,-1.8799999999999955,-3.4099999999999966,207.17,206.198,1.3763357148604654,1.6575343133701892,0.013360540251663888,0.019951100244498754,0.001055864849299315
2015-03-17,207.69,208.42,206.98,207.96,174.19,94510400.0,175.34449999999998,206.05079999999998,-0.0029763608265125,50.32544709723508,0.0056853153062093,0.4026636436182719,1,2.980000000000018,0.004253365991356,-0.305577108462063,0,0.0392734629254991,0.1524523984119901,0,0,0,0,0,0,0,0,0,0,0,0,17,1,3,2015,207.55,-0.473216126690905,209.33249999999998,213.89817136355637,204.7668286364436,-0.0029724805829897116,2.0167741018215044,-0.305577108462063,0,0.8600000000000136,0.46000000000000796,-3.1599999999999966,207.45666666666668,206.794,1.442440062302007,1.6458067930348257,-0.0029724805829897116,0.004152583293095091,0.014538003707678993
2015-03-18,207.39,211.27,206.62,210.46,176.29,228808500.0,175.3585,206.22560000000001,0.0120558011366898,56.700568681083496,0.1771762574510091,0.3575661663848193,0,5.960000000000008,0.022419733796634,1.4209875315309213,0,0.0438912833142756,0.4282330710265408,0,0,0,0,0,0,0,0,0,0,0,0,18,2,3,2015,207.573,-0.21502397124028605,209.349,213.9284449445319,204.7695550554681,0.012021542604347069,2.051742078224192,1.4209875315309213,1,4.6299999999999955,2.0999999999999943,0.2300000000000182,209.0,207.98600000000002,1.301844844826208,1.7253637297681779,0.012021542604347069,0.022494291405528832,0.029144254278728576
2015-03-19,209.96,210.47,209.03,209.5,175.48,117917300.0,175.33800000000002,206.41920000000002,-0.0045947019116229,53.842981348833035,0.2449007704424843,0.3350330871963524,1,2.4000000000000057,0.0044847383985543,-0.4846463308836866,0,0.0421101240214618,0.2005183846457605,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,2015,207.477,-0.10708373807198168,209.325,213.89598895207578,204.7540110479242,-0.004561436852608569,1.9198729703348578,-0.4846463308836866,0,0.9199999999999875,4.52000000000001,-0.960000000000008,209.30666666666664,208.46600000000004,1.2611634839837076,1.7509083356930824,-0.004561436852608569,0.004410777639274999,0.011588604538870229
2015-03-20,209.71,211.02,209.49,210.41,177.03,177715100.0,175.3425,206.5812,0.0088329154319581,56.101465078398356,0.4188171179948767,0.3517898933560573,0,4.579999999999984,0.016294014657025,0.5071164282085834,0,0.0455185152607968,0.3233129551189868,0,0,0,0,0,0,0,0,0,0,0,0,20,4,3,2015,207.76799999999997,0.020606192526665124,209.2835,213.79892367890312,204.76807632109688,0.004343675417661119,2.132509215819645,0.5071164282085834,1,2.4499999999999886,5.909999999999997,2.9099999999999966,210.12333333333333,209.382,0.5404010856151165,1.1065803179161662,0.004343675417661119,0.011781111752259932,0.022251372491862043
2015-06-02,211.02,212.19,210.27,211.36,177.83,91531000.0,177.8715,209.9212,-0.0010111791472388,50.57680083297439,0.448809268719998,0.6066702610825396,1,0.660000000000025,-0.0051941654599914,-0.0193681512939956,0,0.0472776849327117,0.1463342110661692,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,2015,212.233,-0.17939040463232092,211.406,214.51559418574163,208.29640581425838,-0.000992579288178752,0.9573232357868886,-0.019368151293995606,0,-1.0999999999999943,-2.1399999999999864,-1.7399999999999807,211.35666666666665,211.846,0.21501937897245033,0.6923005127833705,-0.000992579288178752,-0.005177445166148931,0.0031324157570005173
2015-06-03,212,212.67,211.33,211.92,178.3,87820900.0,177.9985,209.9596,0.0026429736264972,52.75397585657785,0.4244504934671624,0.5702263075594642,0,-0.7800000000000011,0.0036582509948789,-0.0405338082179808,0,0.0483111971149617,0.1387155338587683,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,2015,212.12199999999999,-0.1653223282580647,211.55699999999996,214.4509944713143,208.66300552868563,0.0026495079485238104,0.9181962995156061,-0.040533808217980805,0,0.7800000000000011,-1.0700000000000216,-1.1100000000000136,211.61666666666667,211.69,0.282901631903467,0.5175905717844188,0.0026495079485238104,0.003694231315714669,-0.0036671368124118198
2015-06-04,211.07,211.86,209.75,210.13,176.8,151882800.0,178.0865,209.9858,-0.0084127874369041,45.80771893011508,0.2808708206227379,0.512355210172119,0,-2.3300000000000125,-0.0067809929576456,0.7294607547861613,0,0.0450127539801213,0.2702664185769146,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,2015,211.84700000000004,-0.26802918993218505,211.6615,214.16448441864864,209.15851558135134,-0.008446583616459002,1.065885651569595,0.7294607547861613,1,-1.4399999999999977,-0.5699999999999932,-2.75,211.13666666666666,211.224,0.9156600533679256,0.6757440343799698,-0.008446583616459002,-0.006806257976083585,-0.01096677021557002
2015-06-05,209.95,210.58,208.98,209.77,176.49,121704700.0,178.124,210.06599999999997,-0.0017533936651583,44.5375652485162,0.1404494721477647,0.4379740625672482,0,-1.3699999999999761,-0.0075232074755652,-0.1986933345974659,0,0.0443310757322543,0.2082957971293351,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,2015,211.47400000000002,-0.34667410506470386,211.7065,214.03327695536075,209.37972304463926,-0.0017132251463378712,1.075755032007109,-0.19869333459746596,0,-1.5900000000000034,-2.9299999999999784,-3.7299999999999898,210.60666666666665,210.95,1.151535207162093,0.943159583527686,-0.0017132251463378712,-0.007522710068130212,-0.006488585772473132
2015-06-08,209.64,209.82,208.39,208.48,175.41,89063300.0,177.99200000000002,210.1302,-0.0061193268740439,40.232618376351446,-0.0573216638043732,0.3389149172929239,0,-3.0900000000000034,-0.0162855079761063,-0.2682016388849403,0,0.0419561966751693,0.1412667978577103,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,2015,211.023,-0.4646750487965251,211.5495,214.2690328642982,208.8299671357018,-0.006149592410735649,1.2930158545044017,-0.2682016388849403,0,-3.4399999999999977,-3.980000000000018,-4.510000000000019,209.46,210.33200000000002,0.8675828490702094,1.3569340440862103,-0.006149592410735649,-0.016232540581351484,-0.014605095240346033
