Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,daily_return,RSI_14,MACD,Signal_Line,target,momentum_5d,return_3d,volume_change,outlier_return,Adj Close_norm,Volume_norm,SMA_20_was_imputed,SMA_50_was_imputed,daily_return_was_imputed,RSI_14_was_imputed,MACD_was_imputed,Signal_Line_was_imputed,momentum_5d_was_imputed,return_3d_was_imputed,volume_change_was_imputed,outlier_return_was_imputed,Adj Close_norm_was_imputed,Volume_norm_was_imputed
2015-01-23,205.79,206.1,204.81,204.97,171.69,117516800.0,169.691,172.55380000000002,-0.005502780352177883,54.09291660631673,0.1631568660847904,1.024884813884194,1,4.97999999999999,0.014451189826298227,-0.32599509050448505,0,0.033776057700765194,0.1996959593144854,1,1,0,0,1,1,0,0,0,0,0,0
2015-01-26,204.71,205.56,203.85,205.45,172.09,92009700.0,169.691,172.55380000000002,0.0023297804181956483,55.50266921513548,0.1631568660847904,1.024884813884194,0,3.200000000000017,0.01169972947639919,-0.2170506685001634,0,0.03465564253672265,0.14731721982042995,1,1,0,0,1,1,0,0,0,0,0,0
2015-01-27,202.97,204.12,201.74,202.74,169.82,134044600.0,169.691,172.55380000000002,-0.013190772270323725,46.73207837814337,0.1631568660847904,1.024884813884194,0,0.5699999999999932,-0.01636377220430596,0.4568529187683472,0,0.02966399859266422,0.23363573806667004,1,1,0,0,1,1,0,0,0,0,0,0
2015-01-28,204.17,204.29,199.91,200.14,167.64,168514300.0,169.691,172.55380000000002,-0.01283712165822637,40.16752253489445,0.1631568660847904,1.024884813884194,1,-2.4700000000000273,-0.023698113510354446,0.2571509781072867,0,0.024870261236696223,0.3044191449117541,1,1,0,0,1,1,0,0,0,0,0,0
2015-01-29,200.38,202.3,198.68,201.99,169.19,173585400.0,169.691,172.55380000000002,0.009246003340491527,45.97810843001822,0.1631568660847904,1.024884813884194,0,-3.4499999999999886,-0.016781890588058568,0.03009299507519536,0,0.028278652476031285,0.31483263079797025,1,1,0,0,1,1,0,0,0,0,0,0
2015-01-30,200.57,202.17,199.13,199.45,167.07,197729700.0,169.691,172.55380000000002,-0.01253029138837991,40.22424340685436,0.1631568660847904,1.024884813884194,1,-4.6200000000000045,-0.016121409706114753,0.1390917669343159,0,0.023616852845456893,0.3644128653195867,0,1,0,0,1,1,0,0,0,0,0,0
2015-02-02,200.05,202.03,197.86,201.92,169.14,163107000.0,169.544,172.55380000000002,0.012390016160890527,47.175497348791694,0.1631568660847904,1.024884813884194,1,-2.950000000000017,0.009105728113002143,-0.17510116082712912,0,0.028168704371536568,0.29331527351648745,0,1,0,0,1,1,0,0,0,0,0,0
2015-02-03,203,204.85,202.55,204.84,171.58,124212900.0,169.6745,172.55380000000002,0.014425919356745975,53.97034817490234,0.1631568660847904,1.024884813884194,0,1.7600000000000193,0.014285644129256592,-0.23845757692802882,0,0.03353417187087693,0.21344637694432744,0,1,0,0,1,1,0,0,0,0,0,0
2015-02-04,203.92,205.38,203.51,204.06,170.93,134306700.0,169.852,172.55380000000002,-0.0037883203170533397,52.049601319352206,0.1631568660847904,1.024884813884194,1,3.2900000000000205,0.023027615200583162,0.08126209113546179,0,0.032104846512446106,0.23417395948821118,0,1,0,0,1,1,0,0,0,0,0,0
2015-02-05,204.86,206.3,204.77,206.12,172.65,97953200.0,170.0115,172.55380000000002,0.010062598724624117,56.46484594266091,0.1631568660847904,1.024884813884194,0,3.460000000000008,0.020700197764316752,-0.27067525298440065,0,0.03588706130706304,0.15952217601627028,0,1,0,0,1,1,0,0,0,0,0,0
