Date,Volume_Ratio_lag_5,RSI_14_lag_5,volume_change,Volume_Ratio_lag_3,ADX_14,daily_return,rolling_std_5d,Volume_lag_1,Volume_Ratio_lag_1,momentum_10d,MACD_diff,momentum_3d,rolling_return_5d,Volume_Ratio,RSI_14_lag_3,Volume_lag_5,Volume,MACD_diff_lag_5,Volatility_10d,Price_Change,Stoch_Oscillator,momentum_7d,day,ATR_14,Volume_lag_3,return_1d,Volume_SMA_5,weekday,momentum_5d,RSI_14,MACD,return_3d,Open,month,MACD_diff_lag_3,target
2016-03-04,0.5890113835726318,55.04096459504032,0.2426259882392658,0.6412103553743627,20.572456849802848,0.0003042596348885,1.0728699828031745,25474600.0,0.8432249001354477,4.040000000000006,-1.107042150306707,2.3900000000000006,0.0216571594314995,1.0077929057115078,34.919740555850325,25656900.0,31655400.0,-0.2364979438965802,1.606976456994199,0.0003786802991574,25.47923322683705,3.1200000000000045,4,2.3211730265624837,23979100.0,0.00037868029915744117,31410620.0,4,-6.939999999999998,41.31948925430924,0.6596111537947564,-0.001214174117652,105.75,3,-1.130143291516256,0
2016-03-07,1.1051827537931818,38.52654090683005,-0.183039860497735,0.8528468520655327,20.735866333733384,-0.006083341782419,1.0555235667667877,31655400.0,1.0077929057115078,1.7399999999999949,-1.0528190519217187,-0.8100000000000023,0.0245853658536585,0.9495219933015177,41.56691842960104,46734200.0,25861200.0,-0.7119801523276008,1.6166920960200266,-0.0061512255133907,20.684039087947816,1.4599999999999935,7,2.260374953236592,29209800.0,-0.006151225513390757,27236020.0,0,-0.5200000000000102,40.03128471013383,0.7044449619250628,-0.0076013133684255,105.13,3,-1.1809203576918044,0
2016-03-08,0.6412103553743627,34.919740555850325,0.1174462128594187,0.8432249001354477,20.978215862865333,-0.0082627767010099,0.692748150484776,25861200.0,0.9495219933015177,2.5700000000000074,-1.0195388838313553,-1.4799999999999898,-0.0155024104357689,1.0240468605487616,41.21138557519042,23979100.0,28898500.0,-1.130143291516256,1.342758768770996,-0.0082841363549799,13.91666666666668,0.7199999999999989,8,2.1874910280054065,25474600.0,-0.008284136354979932,28219900.0,1,0.8700000000000045,38.30969690554852,0.666927917446813,-0.0140418588485404,104.3,3,-1.1715721521674374,1
2016-03-09,0.8528468520655327,41.56691842960104,0.0743602609131961,1.0077929057115078,21.206452076090763,0.00637728862374,0.6293409250955128,28898500.0,1.0240468605487616,2.269999999999996,-0.9005270024948769,-0.8500000000000085,-0.0095436076726826,1.086051137178521,41.31948925430924,29209800.0,31047400.0,-1.1809203576918044,1.1741001282307195,0.0064330292846854,19.49999999999991,2.319999999999993,9,2.0940988117193067,31655400.0,0.006433029284685476,28587420.0,2,-1.0100000000000051,40.43424484406128,0.6793925929416815,-0.0079688298596889,104.54,3,-1.107042150306707,0
2016-03-10,0.8432249001354477,41.21138557519042,0.4247924141796093,0.9495219933015177,20.878554982677972,-0.0015331152902698,0.5539223772335562,31047400.0,1.086051137178521,1.0999999999999943,-0.7849351214445912,-0.35999999999999943,-0.0091829972545678,1.3678566171877802,40.03128471013383,25474600.0,44236100.0,-1.1715721521674374,1.1115354745177453,-0.0015264262545315,18.166666666666604,-1.1300000000000097,10,2.1266631823107844,25861200.0,-0.0015264262545315876,32339720.0,3,-0.9699999999999989,40.079268606500705,0.669450186643445,-0.0034186033675397,105.26,3,-1.0528190519217187,1
2016-03-11,1.0077929057115078,41.31948925430924,-0.2889517837241528,1.0240468605487616,20.249981330224415,0.0175043504964684,0.8785044109166847,44236100.0,1.3678566171877802,3.059999999999988,-0.5487601708134782,2.339999999999989,0.0077600075707391,0.9738249331876961,38.30969690554852,31655400.0,31454000.0,-1.107042150306707,1.128836175497305,0.0174851901394992,33.41666666666659,0.6599999999999966,11,2.1054729550028712,28898500.0,0.01748519013949923,32299440.0,4,0.8199999999999932,45.92649922453832,0.790441746533503,0.0223485238299386,105.79,3,-1.0195388838313553,1
2016-03-14,0.9495219933015177,40.03128471013383,-0.1932695364659502,1.086051137178521,19.443715111876806,0.0017102615694164,1.14440814397665,31454000.0,0.9738249331876961,0.8400000000000034,-0.3534351792911461,1.8500000000000085,-0.4437897590989675,0.7879870244809513,40.43424484406128,25861200.0,25374900.0,-1.0528190519217187,121.96386894851,-0.2995600499047869,34.91666666666665,-65.58,14,2.0165106010740947,31047400.0,0.0016902995586440817,32202180.0,0,1.6500000000000057,46.47971888011017,0.8897890741221914,0.017681496775615,106.09,3,-0.9005270024948769,0
2016-03-15,1.0240468605487616,38.30969690554852,0.04530855294011,1.3678566171877802,18.744470523120214,-0.00040172742794,1.0207007396882297,25374900.0,0.7879870244809513,0.8399999999999892,-0.20718774533151485,1.9699999999999989,0.0238118098895823,0.8360155575307148,40.079268606500705,28898500.0,26524600.0,-1.0195388838313553,0.8799627517370825,-0.0003749882816163,34.583333333333265,0.9599999999999936,15,1.9296169867116593,44236100.0,-0.0003749882816163064,31727400.0,1,2.4799999999999898,46.366195126371075,0.9542943698213548,0.0188128846379448,106.29,3,-0.7849351214445912,1
2016-03-16,1.086051137178521,40.43424484406128,0.1948568498676699,0.9738249331876961,17.497519294412694,0.0089420275293881,1.066972352031725,26524600.0,0.8360155575307148,1.75,-0.035715995851607674,1.0900000000000034,0.0263308528906698,0.9948694993241576,45.92649922453832,31047400.0,31693100.0,-0.9005270024948769,1.089381067905698,0.008909312576198,49.95102840352593,2.5600000000000023,16,1.900358630517969,31454000.0,0.008909312576198092,31856540.0,2,2.760000000000005,49.519699783218535,1.0649547083910846,0.0102505616708644,106.37,3,-0.5487601708134782,0
2016-03-17,1.3678566171877802,40.079268606500705,-0.0652949695675083,0.7879870244809513,16.339636010612853,-0.0005974905397331,0.5268491245130048,31693100.0,0.9948694993241576,1.8900000000000008,0.07820259699214727,0.8499999999999943,0.0273265813109115,1.0238348852528818,46.47971888011017,44236100.0,29623700.0,-0.7849351214445912,1.225202477597621,-0.0005577244841048,93.68029739776945,3.3699999999999903,17,1.8289044426238277,25374900.0,-0.000557724484104849,28934060.0,3,2.8599999999999994,49.32245212428922,1.1347318430723303,0.0079428095617148,107.27,3,-0.3534351792911461,1
